H_LL_50 , 1 ,  97
H_LL_51 , 71 ,  28
H_LL_52 , 37 ,  58
H_LL_53 , 77 ,  97
H_LL_54 , 94 ,  4
H_LL_55 , 9 ,  31
H_LL_56 , 45 ,  75
H_LL_57 , 35 ,  98
H_LL_58 , 42 ,  99
H_LL_59 , 68 ,  12
H_LL_60 , 60 ,  57
H_LL_61 , 94 ,  8
H_LL_62 , 95 ,  68
H_LL_63 , 13 ,  30
H_LL_64 , 6 ,  62
H_LL_65 , 42 ,  65
H_LL_66 , 82 ,  52
H_LL_67 , 67 ,  21
H_LL_68 , 95 ,  12
H_LL_69 , 71 ,  1
H_LL_70 , 90 ,  31
H_LL_71 , 38 ,  57
H_LL_72 , 16 ,  90
H_LL_73 , 40 ,  79
H_LL_74 , 35 ,  6
H_LL_75 , 72 ,  98
H_LL_76 , 95 ,  19
H_LL_77 , 54 ,  23
H_LL_78 , 89 ,  60
H_LL_79 , 5 ,  26
H_LL_80 , 23 ,  6
H_LL_81 , 13 ,  70
H_LL_82 , 38 ,  94
H_LL_83 , 20 ,  44
H_LL_84 , 66 ,  34
H_LL_85 , 26 ,  94
H_LL_86 , 63 ,  38
H_LL_87 , 44 ,  90
H_LL_88 , 50 ,  59
H_LL_89 , 23 ,  47
H_LL_90 , 85 ,  17
H_LL_91 , 72 ,  39
H_LL_92 , 47 ,  85
H_LL_93 , 96 ,  85
H_LL_94 , 23 ,  20
H_LL_95 , 44 ,  68
H_LL_96 , 35 ,  15
H_LL_97 , 25 ,  34
H_LL_98 , 42 ,  11
H_LL_99 , 79 ,  52
H_LR_150 , 153 ,  24
H_LR_151 , 130 ,  66
H_LR_152 , 100 ,  44
H_LR_153 , 170 ,  85
H_LR_154 , 116 ,  98
H_LR_155 , 155 ,  33
H_LR_156 , 157 ,  76
H_LR_157 , 178 ,  66
H_LR_158 , 157 ,  11
H_LR_159 , 178 ,  14
H_LR_160 , 119 ,  37
H_LR_161 , 133 ,  91
H_LR_162 , 120 ,  62
H_LR_163 , 133 ,  97
H_LR_164 , 131 ,  88
H_LR_165 , 189 ,  73
H_LR_166 , 177 ,  4
H_LR_167 , 158 ,  0
H_LR_168 , 154 ,  60
H_LR_169 , 115 ,  47
H_LR_170 , 180 ,  30
H_LR_171 , 155 ,  46
