S_LL_30 , 22 ,  66
S_LL_31 , 49 ,  24
S_LL_32 , 1 ,  53
S_LL_33 , 77 ,  8
S_LL_34 , 28 ,  33
S_LL_35 , 98 ,  81
S_LL_36 , 35 ,  13
S_LL_37 , 65 ,  14
S_LL_38 , 63 ,  36
S_LL_39 , 25 ,  69
S_LL_40 , 15 ,  94
S_LL_41 , 29 ,  1
S_LL_42 , 17 ,  95
S_LL_43 , 5 ,  4
S_LL_44 , 51 ,  98
S_LL_45 , 88 ,  23
S_LL_46 , 5 ,  82
S_LL_47 , 52 ,  66
S_LL_48 , 16 ,  37
S_LL_49 , 38 ,  44
S_LR_130 , 119 ,  75
S_LR_131 , 109 ,  80
S_LR_132 , 129 ,  23
S_LR_133 , 154 ,  60
S_LR_134 , 137 ,  45
S_LR_135 , 117 ,  25
S_LR_136 , 100 ,  56
S_LR_137 , 164 ,  97
S_LR_138 , 148 ,  4
S_LR_139 , 150 ,  50
S_LR_140 , 176 ,  12
S_LR_141 , 154 ,  97
S_LR_142 , 104 ,  81
S_LR_143 , 148 ,  65
S_LR_144 , 178 ,  99
S_LR_145 , 109 ,  29
S_LR_146 , 153 ,  83
S_LR_147 , 147 ,  7
S_LR_148 , 173 ,  22
S_LR_149 , 105 ,  76
S_UL_230 , 7 ,  141
S_UL_231 , 10 ,  100
S_UL_232 , 99 ,  127
S_UL_233 , 71 ,  187
S_UL_234 , 14 ,  125
S_UL_235 , 41 ,  117
S_UL_236 , 48 ,  142
S_UL_237 , 15 ,  174
S_UL_238 , 45 ,  173
S_UL_239 , 20 ,  111
S_UL_240 , 39 ,  154
S_UL_241 , 5 ,  129
S_UL_242 , 53 ,  189
S_UL_243 , 66 ,  156
S_UL_244 , 4 ,  160
S_UL_245 , 98 ,  192
S_UL_246 , 20 ,  116
S_UL_247 , 80 ,  167
S_UL_248 , 52 ,  139
S_UL_249 , 98 ,  101
S_UR_330 , 103 ,  132
S_UR_331 , 132 ,  141
S_UR_332 , 154 ,  177
S_UR_333 , 117 ,  100
S_UR_334 , 189 ,  165
S_UR_335 , 147 ,  122
S_UR_336 , 179 ,  117
S_UR_337 , 116 ,  148
S_UR_338 , 162 ,  129
S_UR_339 , 139 ,  108
S_UR_340 , 103 ,  157
S_UR_341 , 161 ,  152
S_UR_342 , 166 ,  121
S_UR_343 , 157 ,  196
S_UR_344 , 155 ,  130
S_UR_345 , 194 ,  155
S_UR_346 , 121 ,  112
S_UR_347 , 193 ,  127
S_UR_348 , 132 ,  144
S_UR_349 , 191 ,  198
